Title,Description,ImageURL
The best song WAS the single,A song from an album where the lead single was the best one,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3cDltcGdjc3ZwM3N3b3E3YWkybWZjMTllN2F4MGk0bWJ5dzBrMHFwaSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/1yS6gucxEiP9S/giphy.gif
Life in Technicolor,"A song that is associated with color/s either in the title, lyrics or mood",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExMmR2d3NqbWw5NXVsN2wzMGhtYmVxeHF1ZGp6NnpmcHczMGo3MXozdSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/nu967YqdHy4H6/giphy.gif
All the World's a Stage,A song from a musical,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExMzV1NHM1ZGFqNnFhN3oybWZqMXZtb2JyNXMzeHBocHlqa2lzcXd5bCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3o7aTJzfTFG2UYjLaM/giphy.gif
Rose Tinted Eyes,A song that brings back memories of a difficult time in a strangely good way,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNXFzYnh5cHA4ZWMwMzZ2ODA2eG1ncDM3YWYwc3JxMG8zMW80enhvaiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/cVIbD5Pe0WwuSYHUhk/giphy.gif
One Hit Man,A song from an artist who's mainly known for one big hit,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNnRsbm16eG9yaXV2aDloazFyYThwOW44cGpidmNzZW12MGQ5NWxseCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/13cswZEvNJM7ZK/giphy.gif
Buried Treasure,A non-single song that deserved way more attention,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExMDh4MnlzOHVvNmlzcGMxNTByaTJpM3I4OWNqeGx6aGRvMjNuZjE1eiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/xT1XGzAnABSXy8DPCU/giphy.gif
In Another Life,A song that reminds you of the person you used to be,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExMnFneDBrcmg5dDRvOHRybTR2Y3poN29yN25iOWF6bmN4cWFzeHl4MiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/XRTzPOUgkr7soUqz6G/giphy.gif
Midnight Drive,A song perfect for late-night driving vibes,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExc2RkaXJlcTZjeWNreDdzd2tueTR6eHV0b3AyYmhlY2tyNWNtYW9meiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Zf7L4QMWo3RkI/giphy.gif
Vivaldi,A song associated with a particular season,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExaHMwZmYxY2g1bGdpMXp4eWtmODdocG5pNnppeHgwemRqdnBycXFvaSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/26tnnkLYVvfF1W3HG/giphy.gif
Hidden in Plain Sight,A massively popular song you somehow discovered very late,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZ3gwN2M2enUwZzhpMmszeXluZmR4emY0MDExa3d5dmo5bnQ3MmJjaCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/JUh0yTz4h931K/giphy.gif
Built Different Live,A song vastly better in concert/live performance,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3bmw0ZnhvY3JzempsOGR1d3EzdWV2eGF5cnI0MWE5Z2dkczQ1NHB1cSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3o8dFwB81f98HV3jS8/giphy.gif
NSA,A song with no string instruments,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3cnJvbnFlczVzdmNuMzA1NnNzMnFxMmNzYW11aHNnMWV6NmJ0aTl0biZlcD12MV9naWZzX3NlYXJjaCZjdD1n/at3xxfUsCKSybFhtxA/giphy.gif
I'm Acoustic,An acoustic song cover you prefer over the original,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcHZhN2xqbzJkbnFpbTZlMGtkbzFybHllM3FtaGRnZHJpcHZpNXRzZCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/eCU3YB6sbZAjes8oyC/giphy.gif
Death Scrolling,A song you found on tiktok or that made it big on social media,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNXdwN3hkMWVwNWRmanRoeTNyb3l3djVhMHo4MDNjcWc3dnBvc2V0OCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/OxkapuzkedyYynvjOu/giphy.gif
These tears don't fall,A song you cry in the shower to,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExaDVtcjMyc2FhaDBxM3Z6ZXltbnh6YWg1eTgzNWw1ZTU2enI1MGs0bSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/HJVQN4UzQDQHxai2nK/giphy.gif
Some country for old men,A country song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExM2trcGJ4NTN1ajNreG4wbnh5OGI1NnZtNGRkMmtlODhrcHBraW40ayZlcD12MV9naWZzX3NlYXJjaCZjdD1n/xUPGceyJQ83PmswZIA/giphy.gif
Looking at you through the glass,A song that reminds you or someone else that you haven't seen for a long time,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbTFsNjFjYXcycHZ5amxicnVqa3Iyd3N1bnR5N2lqOHN3NG1ib2J1MSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/E2d2tsgz7iHo4/giphy.gif
Passenger Seat,A song that reminds you of someone else,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExd2dxNm0wb2VnMGRiemJ5NHY1a3hhenFvY3Eza2ZoMTRqaG4xbjRhcSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/PUjI8mqynceLoTGDhy/giphy.gif
Cats in the cradle,A song from your childhood,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3Ymo4bHBqbXc2NGl2cDE2d2EzZ2ViYno3ZTd1azY3cHk0Mml1ZW92YyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/YKFp6woiCQy4/giphy.gif
Confrontation Song,"A song where there is an argument or conflict, either among multiple singers or described",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcjA5eWY2MzEwandtZnhoNHBweDgyemhuYmdrb2NnNmN6eDVzNWR4MyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3o6ozCCmsfEmjnr0hG/giphy.gif
It's a classic,A song from the classical genre,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbTkxcXhiandxdGg0Z3hzYzBpM3YxZm1jZzBpcjB0NWtjZXMyenF2MiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/fQukKqcloXQn9l4wr9/giphy.gif
Roll credits,A song from a movie soundtrack,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExazZpb29zOW1ueGZvYnFoOGF6ZGdxd3d4cGh6d2VsdHA5bTZiNjI3eSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/AkLGHCYGv43uw/giphy.gif
See you later space cowboy,A song from an anime,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExd3NjN2t2b2RyY2NiNnE3NzRpZTVvZmE5Nzg3ZnZiY3Q1cmxoN2kxcSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/FWAcpJsFT9mvrv0e7a/giphy.gif
Bink's Brew,"A song that you associate with the seven seas, or pirates",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZm5kNnRobzBnbHhrd3FqNXBmeXhnbW51Z2FteHhramw1am1kOHE4ZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/142UUuhYoZqlG/giphy.gif
